nexus_stage,attack_id,technique_name,mitre_tactic,mapping_confidence,review_required,mapping_reason,linked_capec_patterns
COMMAND_AND_CONTROL,T1001,Data Obfuscation,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1001.001,Junk Data,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1001.002,Steganography,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",CAPEC-636 (Hiding Malicious Data or Code within Files)
COMMAND_AND_CONTROL,T1001.003,Protocol or Service Impersonation,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1008,Fallback Channels,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1071,Application Layer Protocol,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1071.001,Web Protocols,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1071.002,File Transfer Protocols,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1071.003,Mail Protocols,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1071.004,DNS,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1071.005,Publish/Subscribe Protocols,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
COMMAND_AND_CONTROL,T1090,Proxy,command-and-control,HIGH,False,"Direct alignment with outbound beaconing, remote agent tunneling, and C2 interaction",None Mapped
