dataset,relative_path,file_name,extension,size_bytes,size_gb,file_type,estimated_role,action_candidate
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows.md5,GeneratedLabelledFlows.md5,.md5,61,0.0,MD5 Checksum,Dataset integrity verification,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows/TrafficLabelling/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,.csv,96101069,0.089501,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows/TrafficLabelling/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,.csv,101874777,0.094878,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows/TrafficLabelling/Friday-WorkingHours-Morning.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv,.csv,75386737,0.070209,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows/TrafficLabelling/Monday-WorkingHours.pcap_ISCX.csv,Monday-WorkingHours.pcap_ISCX.csv,.csv,268649908,0.2502,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows/TrafficLabelling/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,.csv,108723183,0.101256,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows/TrafficLabelling/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,.csv,92030223,0.08571,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows/TrafficLabelling/Tuesday-WorkingHours.pcap_ISCX.csv,Tuesday-WorkingHours.pcap_ISCX.csv,.csv,174696560,0.162699,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/GeneratedLabelledFlows/TrafficLabelling/Wednesday-workingHours.pcap_ISCX.csv,Wednesday-workingHours.pcap_ISCX.csv,.csv,285642925,0.266026,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV.md5,MachineLearningCSV.md5,.md5,57,0.0,MD5 Checksum,Dataset integrity verification,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,.csv,77123859,0.071827,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,.csv,76906168,0.071624,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Morning.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv,.csv,58316725,0.054312,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV/MachineLearningCVE/Monday-WorkingHours.pcap_ISCX.csv,Monday-WorkingHours.pcap_ISCX.csv,.csv,176927918,0.164777,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV/MachineLearningCVE/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,.csv,83102436,0.077395,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV/MachineLearningCVE/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,.csv,52023263,0.04845,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV/MachineLearningCVE/Tuesday-WorkingHours.pcap_ISCX.csv,Tuesday-WorkingHours.pcap_ISCX.csv,.csv,135078995,0.125802,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/CSV/MachineLearningCSV/MachineLearningCVE/Wednesday-workingHours.pcap_ISCX.csv,Wednesday-workingHours.pcap_ISCX.csv,.csv,225166395,0.209703,CSV,Extracted flow features and ground truth labels,KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Friday-WorkingHours.md5,Friday-WorkingHours.md5,.md5,59,0.0,MD5 Checksum,Dataset integrity verification,KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Friday-WorkingHours.pcap,Friday-WorkingHours.pcap,.pcap,8839309056,8.232248,PCAP,Raw packet capture (evaluation / benchmark reference),KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Monday-WorkingHours.md5,Monday-WorkingHours.md5,.md5,59,0.0,MD5 Checksum,Dataset integrity verification,KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Monday-WorkingHours.pcap,Monday-WorkingHours.pcap,.pcap,10822507416,10.079245,PCAP,Raw packet capture (evaluation / benchmark reference),KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Thursday-WorkingHours.md5,Thursday-WorkingHours.md5,.md5,61,0.0,MD5 Checksum,Dataset integrity verification,KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Thursday-WorkingHours.pcap,Thursday-WorkingHours.pcap,.pcap,8302500180,7.732306,PCAP,Raw packet capture (evaluation / benchmark reference),KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Tuesday-WorkingHours.md5,Tuesday-WorkingHours.md5,.md5,60,0.0,MD5 Checksum,Dataset integrity verification,KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Tuesday-WorkingHours.pcap,Tuesday-WorkingHours.pcap,.pcap,11048283608,10.289516,PCAP,Raw packet capture (evaluation / benchmark reference),KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Wednesday-workingHours.md5,Wednesday-workingHours.md5,.md5,62,0.0,MD5 Checksum,Dataset integrity verification,KEEP
CIC-IDS2017,data/CIC-IDS2017/PCAP/Wednesday-workingHours.pcap,Wednesday-workingHours.pcap,.pcap,13420789612,12.499084,PCAP,Raw packet capture (evaluation / benchmark reference),KEEP
CTU-13,data/CTU-13-Dataset/1/Neris.exe,Neris.exe,.exe,586240,0.000546,Binary Executable,Original malware sample executable (sandboxed artifact),REVIEW_REQUIRED
CTU-13,data/CTU-13-Dataset/1/README.html,README.html,.html,4959,5e-06,Documentation / Metadata,"Scenario description, setup details, and protocol documentation",KEEP
CTU-13,data/CTU-13-Dataset/1/capture20110810.binetflow,capture20110810.binetflow,.binetflow,386629271,0.360077,Binetflow,Bidirectional NetFlow records with ground-truth botnet labels,KEEP
CTU-13,data/CTU-13-Dataset/10/README,README,(none),9329,9e-06,Documentation / Metadata,"Scenario description, setup details, and protocol documentation",KEEP
CTU-13,data/CTU-13-Dataset/10/capture20110818.binetflow,capture20110818.binetflow,.binetflow,179074339,0.166776,Binetflow,Bidirectional NetFlow records with ground-truth botnet labels,KEEP
CTU-13,data/CTU-13-Dataset/10/rbot.exe,rbot.exe,.exe,225792,0.00021,Binary Executable,Original malware sample executable (sandboxed artifact),REVIEW_REQUIRED
CTU-13,data/CTU-13-Dataset/11/README,README,(none),2571,2e-06,Documentation / Metadata,"Scenario description, setup details, and protocol documentation",KEEP
